Type;Cause;value;Timestamp
AvatarTalking;ImageValidation;True;2022-03-09 12:00:47.740000
AvatarTalking;Dialog;Commenting-photos;2022-03-09 12:00:55.914000
AvatarTalking;Dialog;Yes-beginning;2022-03-09 12:01:18.258000
AvatarTalking;Dialog;Persons-recognized;2022-03-09 12:01:20.339000
AvatarTalking;Dialog;Persons-q2;2022-03-09 12:01:36.737000
AvatarTalking;Dialog;Persons-q3;2022-03-09 12:01:46.374000
AvatarTalking;Dialog;Persons-q4;2022-03-09 12:02:05.873000
AvatarTalking;Dialog;When-q1;2022-03-09 12:02:30.719000
AvatarTalking;Dialog;When-q2;2022-03-09 12:02:38.725000
AvatarTalking;Dialog;Where-q1n;2022-03-09 12:02:56.153000
AvatarTalking;Dialog;Where-q2;2022-03-09 12:03:04.951000
AvatarTalking;Dialog;Where-q3;2022-03-09 12:03:12.635000
