Type;Cause;value;Timestamp
AvatarTalking;ImageValidation;True;2022-03-09 16:05:42.281000
AvatarTalking;Dialog;Commenting-photos;2022-03-09 16:05:44.826000
AvatarTalking;Dialog;Yes-beginning;2022-03-09 16:06:09.450000
AvatarTalking;Dialog;Persons-recognized;2022-03-09 16:06:12.262000
AvatarTalking;Dialog;Persons-q2;2022-03-09 16:06:31.635000
AvatarTalking;Dialog;Persons-q3;2022-03-09 16:06:41.697000
AvatarTalking;Dialog;Persons-q4;2022-03-09 16:06:48.987000
AvatarTalking;Dialog;When-q1;2022-03-09 16:07:14.442000
