Type;Cause;value;Timestamp
AvatarTalking;Avatar_Speech;True;2021-12-17 11:24:45.251864
AvatarTalking;Avatar_Speech;True;2021-12-17 11:24:45.317715
AvatarTalking;Avatar_Speech;True;2021-12-17 11:24:45.428391
AvatarTalking;WelcomingSentence;True;2021-12-17 11:24:45.538716
AvatarTalking;Avatar_Speech;True;2021-12-17 11:25:00.674837
AvatarTalking;Avatar_Speech;True;2021-12-17 11:25:00.785540
AvatarTalking;ImageValidation;True;2021-12-17 11:25:00.896290
AvatarTalking;ImageSelection;True;2021-12-17 11:25:00.897244
AvatarTalking;Avatar_Speech;True;2021-12-17 11:25:00.897244
AvatarTalking;Avatar_Speech;True;2021-12-17 11:25:11.885253
AvatarTalking;Avatar_Speech;True;2021-12-17 11:25:11.984989
AvatarTalking;Commenting Photos;True;2021-12-17 11:25:12.095738
AvatarTalking;Avatar_Speech;True;2021-12-17 11:25:17.140005
5
AvatarTalking;StartingSentence;Other-word;2021-12-17 11:25:32.609476
AvatarTalking;Avatar_Speech;True;2021-12-17 11:25:32.613464
AvatarTalking;Avatar_Speech;True;2021-12-17 11:25:36.353406
AvatarTalking;Avatar_Speech;True;2021-12-17 11:25:48.119023
AvatarTalking;Avatar_Speech;True;2021-12-17 11:25:48.629220
AvatarTalking;Dialog;Persons-q2;2021-12-17 11:25:59.239496
AvatarTalking;Avatar_Speech;True;2021-12-17 11:26:00.259766
AvatarTalking;Dialog;Persons-q3;2021-12-17 11:26:07.328089
AvatarTalking;Avatar_Speech;True;2021-12-17 11:26:07.333080
AvatarTalking;Dialog;Persons-q4;2021-12-17 11:26:15.398316
AvatarTalking;Avatar_Speech;True;2021-12-17 11:26:15.405298
