Type;Cause;value;Timestamp
AvatarTalking;ImageValidation;True;2022-03-09 11:16:20.996000
AvatarTalking;Dialog;Commenting-photos;2022-03-09 11:16:28.343000
AvatarTalking;Dialog;Yes-beginning;2022-03-09 11:16:51
AvatarTalking;Dialog;Persons-recognized;2022-03-09 11:16:53.950000
AvatarTalking;Dialog;Persons-q2;2022-03-09 11:17:02.052000
AvatarTalking;Dialog;Persons-q3;2022-03-09 11:17:16.855000
AvatarTalking;Dialog;Persons-q4;2022-03-09 11:17:27.868000
AvatarTalking;Dialog;Animals-q1;2022-03-09 11:17:42.161000
AvatarTalking;Dialog;Animals-q2;2022-03-09 11:17:55.633000
AvatarTalking;Dialog;Animals-q3;2022-03-09 11:18:05.025000
AvatarTalking;Dialog;Animals-q4;2022-03-09 11:18:24.976000
AvatarTalking;Dialog;When-q1;2022-03-09 11:18:29.510000
AvatarTalking;Dialog;When-q2;2022-03-09 11:18:47.928000
AvatarTalking;Dialog;Where-q1n;2022-03-09 11:18:54.866000
