Type;Cause;value;Timestamp
AvatarTalking;ImageValidation;True;2022-03-10 14:16:04.758000
AvatarTalking;Dialog;Commenting-photos;2022-03-10 14:16:11.448000
AvatarTalking;Dialog;Yes-beginning;2022-03-10 14:16:57.834000
AvatarTalking;Dialog;Persons-recognized;2022-03-10 14:17:00.849000
AvatarTalking;Dialog;Persons-q2;2022-03-10 14:17:11.854000
AvatarTalking;Dialog;Persons-q3;2022-03-10 14:17:17.580000
AvatarTalking;Dialog;Persons-q4;2022-03-10 14:17:24.074000
AvatarTalking;Dialog;When-q1;2022-03-10 14:17:33.891000
AvatarTalking;Dialog;When-q2;2022-03-10 14:17:46.344000
AvatarTalking;Dialog;Where-q1n;2022-03-10 14:17:59.524000
AvatarTalking;Dialog;Where-q2;2022-03-10 14:18:10.450000
AvatarTalking;Dialog;Where-q3;2022-03-10 14:18:16.652000
AvatarTalking;Dialog;Second-Photo;2022-03-10 14:18:43.298000
AvatarTalking;Dialog;Commenting-photos;2022-03-10 14:18:50.897000
AvatarTalking;Dialog;Yes-beginning;2022-03-10 14:19:06.210000
AvatarTalking;Dialog;Persons-q2;2022-03-10 14:19:17.351000
AvatarTalking;Dialog;Persons-q3;2022-03-10 14:19:24.059000
AvatarTalking;Dialog;Not_User_Voice;2022-03-10 14:19:32.408000
AvatarTalking;Dialog;Persons-q4;2022-03-10 14:19:39.119000
AvatarTalking;Dialog;When-q1;2022-03-10 14:19:48.536000
AvatarTalking;Dialog;When-q2;2022-03-10 14:19:56.880000
AvatarTalking;Dialog;Where-q1n;2022-03-10 14:20:10.347000
AvatarTalking;Dialog;Where-q2;2022-03-10 14:20:23.942000
AvatarTalking;Dialog;Where-q3;2022-03-10 14:20:31.645000
AvatarTalking;Dialog;Ending_Phrase;2022-03-10 14:20:54.901000
