Type;Cause;value;Timestamp
AvatarTalking;ImageValidation;True;2022-03-09 15:55:41.446000
AvatarTalking;Dialog;Commenting-photos;2022-03-09 15:55:45.567000
AvatarTalking;Dialog;Yes-beginning;2022-03-09 15:56:04.068000
AvatarTalking;Dialog;Persons-recognized;2022-03-09 15:56:06.241000
AvatarTalking;Dialog;Persons-q2;2022-03-09 15:56:28.464000
AvatarTalking;Dialog;Persons-q3;2022-03-09 15:56:40.206000
AvatarTalking;Dialog;Persons-q4;2022-03-09 15:56:48.094000
AvatarTalking;Dialog;When-q1;2022-03-09 15:57:07.048000
AvatarTalking;Dialog;When-q2;2022-03-09 15:57:28.959000
