Type;Cause;value;Timestamp
AvatarTalking;ImageValidation;True;2022-03-11 13:36:35.056000
AvatarTalking;Dialog;Commenting-photos;2022-03-11 13:36:40.872000
AvatarTalking;Dialog;Yes-beginning;2022-03-11 13:37:01.671000
AvatarTalking;Dialog;Persons-recognized;2022-03-11 13:37:04.549000
AvatarTalking;Dialog;Persons-q2;2022-03-11 13:37:12.378000
AvatarTalking;Dialog;Persons-q3;2022-03-11 13:37:19.945000
AvatarTalking;Dialog;Persons-q4;2022-03-11 13:37:24.737000
AvatarTalking;Dialog;When-q1;2022-03-11 13:37:31.398000
AvatarTalking;Dialog;When-q2;2022-03-11 13:37:41.074000
AvatarTalking;Dialog;Not_User_Voice;2022-03-11 13:37:49.799000
AvatarTalking;Dialog;Not_User_Voice;2022-03-11 13:38:02.884000
AvatarTalking;Dialog;Where-q1n;2022-03-11 13:38:11.252000
AvatarTalking;Dialog;Not_User_Voice;2022-03-11 13:38:24.201000
AvatarTalking;Dialog;Where-q2;2022-03-11 13:38:31.471000
AvatarTalking;Dialog;Where-q3;2022-03-11 13:38:37.014000
AvatarTalking;Dialog;Not_User_Voice;2022-03-11 13:39:01.970000
AvatarTalking;Dialog;Second-Photo;2022-03-11 13:39:16.073000
AvatarTalking;Dialog;Commenting-photos;2022-03-11 13:39:22.959000
AvatarTalking;Dialog;Yes-beginning;2022-03-11 13:39:37.088000
AvatarTalking;Dialog;Not_User_Voice;2022-03-11 13:39:45.698000
AvatarTalking;Dialog;Persons-q2;2022-03-11 13:39:58.116000
AvatarTalking;Dialog;Persons-q3;2022-03-11 13:40:05.826000
AvatarTalking;Dialog;Not_User_Voice;2022-03-11 13:40:13.704000
AvatarTalking;Dialog;Not_User_Voice;2022-03-11 13:40:23.038000
AvatarTalking;Dialog;Persons-q4;2022-03-11 13:40:30.761000
AvatarTalking;Dialog;When-q1;2022-03-11 13:40:40.393000
AvatarTalking;Dialog;When-q2;2022-03-11 13:40:49.588000
AvatarTalking;Dialog;Not_User_Voice;2022-03-11 13:41:00.718000
AvatarTalking;Dialog;Where-q1n;2022-03-11 13:41:08.472000
AvatarTalking;Dialog;Not_User_Voice;2022-03-11 13:41:20.985000
AvatarTalking;Dialog;Where-q2;2022-03-11 13:41:27.615000
AvatarTalking;Dialog;Not_User_Voice;2022-03-11 13:41:36.374000
AvatarTalking;Dialog;Not_User_Voice;2022-03-11 13:41:45.673000
AvatarTalking;Dialog;Where-q3;2022-03-11 13:41:53.419000
AvatarTalking;Dialog;Not_User_Voice;2022-03-11 13:42:16.537000
AvatarTalking;Dialog;Ending_Phrase;2022-03-11 13:42:30.595000
