Type;Cause;value;Timestamp
AvatarTalking;ImageValidation;True;2022-03-09 12:07:28.841000
AvatarTalking;Dialog;Commenting-photos;2022-03-09 12:07:33.574000
AvatarTalking;Dialog;Yes-beginning;2022-03-09 12:07:51.085000
AvatarTalking;Dialog;Persons-recognized;2022-03-09 12:07:53.269000
AvatarTalking;Dialog;Persons-q2;2022-03-09 12:08:11.848000
AvatarTalking;Dialog;Persons-q3;2022-03-09 12:08:20.309000
AvatarTalking;Dialog;Persons-q4;2022-03-09 12:08:31.169000
AvatarTalking;Dialog;When-q1;2022-03-09 12:08:43.711000
AvatarTalking;Dialog;When-q2;2022-03-09 12:08:51.745000
AvatarTalking;Dialog;Where-q1n;2022-03-09 12:09:18.304000
AvatarTalking;Dialog;Where-q2;2022-03-09 12:09:28.703000
AvatarTalking;Dialog;Where-q3;2022-03-09 12:09:36.872000
AvatarTalking;Dialog;Second-Photo;2022-03-09 12:10:07.800000
