Type;Cause;value;Timestamp
AvatarTalking;Avatar_Speech;True;2021-12-07 12:59:12.721732
AvatarTalking;Avatar_Speech;True;2021-12-07 12:59:12.770597
AvatarTalking;Avatar_Speech;True;2021-12-07 12:59:12.882336
AvatarTalking;WelcomingSentence;True;2021-12-07 12:59:12.994001
AvatarTalking;Avatar_Speech;True;2021-12-07 12:59:28.087829
AvatarTalking;Avatar_Speech;True;2021-12-07 12:59:28.191554
AvatarTalking;ImageValidation;True;2021-12-07 12:59:28.303253
AvatarTalking;ImageSelection;True;2021-12-07 12:59:28.304251
AvatarTalking;Avatar_Speech;True;2021-12-07 12:59:28.304251
AvatarTalking;Avatar_Speech;True;2021-12-07 12:59:41.646327
AvatarTalking;Avatar_Speech;True;2021-12-07 12:59:41.755036
AvatarTalking;Commenting Photos;True;2021-12-07 12:59:41.866845
AvatarTalking;Avatar_Speech;True;2021-12-07 12:59:46.920311
1
AvatarTalking;StartingSentence;Other-word;2021-12-07 13:00:02.438913
AvatarTalking;Avatar_Speech;True;2021-12-07 13:00:02.444897
AvatarTalking;StartingSentence;Other-word;2021-12-07 13:00:06.073461
AvatarTalking;Avatar_Speech;True;2021-12-07 13:00:06.078448
AvatarTalking;StartingSentence;Other-word;2021-12-07 13:00:10.401237
AvatarTalking;StartingSentence;Other-word;2021-12-07 13:00:17.942367
AvatarTalking;Avatar_Speech;True;2021-12-07 13:00:17.948339
AvatarTalking;Avatar_Speech;True;2021-12-07 13:00:21.774726
AvatarTalking;StartingSentence;Other-word;2021-12-07 13:00:21.774726
AvatarTalking;StartingSentence;Other-word;2021-12-07 13:00:27.708010
AvatarTalking;Avatar_Speech;True;2021-12-07 13:00:27.712997
AvatarTalking;StartingSentence;Other-word;2021-12-07 13:00:43.174162
