Type;Cause;value;Timestamp
AvatarTalking;ImageValidation;True;2022-03-09 14:11:25.594000
AvatarTalking;Dialog;Commenting-photos;2022-03-09 14:11:28.421000
AvatarTalking;Dialog;Yes-beginning;2022-03-09 14:11:47.850000
AvatarTalking;Dialog;Persons-recognized;2022-03-09 14:11:50.593000
AvatarTalking;Dialog;Persons-q2;2022-03-09 14:12:05.347000
AvatarTalking;Dialog;Persons-q3;2022-03-09 14:12:10.406000
AvatarTalking;Dialog;Persons-q4;2022-03-09 14:12:15.699000
AvatarTalking;Dialog;When-q1;2022-03-09 14:12:29.439000
AvatarTalking;Dialog;When-q2;2022-03-09 14:12:33.997000
AvatarTalking;Dialog;Where-q1n;2022-03-09 14:12:53.709000
AvatarTalking;Dialog;Where-q2;2022-03-09 14:13:00.442000
AvatarTalking;Dialog;Where-q3;2022-03-09 14:13:06.030000
AvatarTalking;Dialog;Second-Photo;2022-03-09 14:13:36.115000
AvatarTalking;Dialog;Commenting-photos;2022-03-09 14:13:42.882000
AvatarTalking;Dialog;Yes-beginning;2022-03-09 14:14:01.434000
AvatarTalking;Dialog;When-q1;2022-03-09 14:14:04.579000
AvatarTalking;Dialog;When-q2;2022-03-09 14:14:10.521000
AvatarTalking;Dialog;Where-q1n;2022-03-09 14:14:19.179000
AvatarTalking;Dialog;Where-q2;2022-03-09 14:14:28.547000
AvatarTalking;Dialog;Where-q3;2022-03-09 14:14:33.589000
AvatarTalking;Dialog;Ending_Phrase;2022-03-09 14:15:04.534000
