Type;Cause;value;Timestamp
AvatarTalking;ImageValidation;True;2022-03-09 15:51:04.663000
AvatarTalking;Dialog;Commenting-photos;2022-03-09 15:51:08.895000
AvatarTalking;Dialog;Yes-beginning;2022-03-09 15:51:35.215000
AvatarTalking;Dialog;Persons-recognized;2022-03-09 15:51:38.073000
AvatarTalking;Dialog;Persons-q2;2022-03-09 15:51:52.536000
AvatarTalking;Dialog;Persons-q3;2022-03-09 15:52:00.120000
AvatarTalking;Dialog;Persons-q4;2022-03-09 15:52:11.625000
AvatarTalking;Dialog;When-q1;2022-03-09 15:52:27.825000
AvatarTalking;Dialog;When-q2;2022-03-09 15:52:34.490000
