Type;Cause;value;Timestamp
AvatarTalking;ImageValidation;True;2022-03-10 11:31:14.118000
AvatarTalking;Dialog;Commenting-photos;2022-03-10 11:31:19.691000
AvatarTalking;Dialog;Yes-beginning;2022-03-10 11:31:48.130000
AvatarTalking;Dialog;Persons-recognized;2022-03-10 11:31:50.218000
AvatarTalking;Dialog;Persons-q2;2022-03-10 11:32:01.088000
AvatarTalking;Dialog;Persons-q3;2022-03-10 11:32:05.380000
AvatarTalking;Dialog;Persons-q4;2022-03-10 11:32:17.358000
AvatarTalking;Dialog;When-q1;2022-03-10 11:32:26.065000
AvatarTalking;Dialog;When-q2;2022-03-10 11:32:34.676000
AvatarTalking;Dialog;Where-q1n;2022-03-10 11:32:53.322000
AvatarTalking;Dialog;Where-q2;2022-03-10 11:33:06.286000
AvatarTalking;Dialog;Where-q3;2022-03-10 11:33:12.384000
AvatarTalking;Dialog;Second-Photo;2022-03-10 11:33:35.375000
AvatarTalking;Dialog;Commenting-photos;2022-03-10 11:33:43.817000
AvatarTalking;Dialog;Yes-beginning;2022-03-10 11:34:10.341000
AvatarTalking;Dialog;Persons-q2;2022-03-10 11:34:20.801000
AvatarTalking;Dialog;Persons-q3;2022-03-10 11:34:26.859000
AvatarTalking;Dialog;Persons-q4;2022-03-10 11:34:31.588000
AvatarTalking;Dialog;When-q1;2022-03-10 11:34:38.708000
AvatarTalking;Dialog;When-q2;2022-03-10 11:34:45.938000
AvatarTalking;Dialog;Where-q1n;2022-03-10 11:34:55.944000
AvatarTalking;Dialog;Where-q2;2022-03-10 11:35:14.088000
AvatarTalking;Dialog;Where-q3;2022-03-10 11:35:19.703000
AvatarTalking;Dialog;Ending_Phrase;2022-03-10 11:35:43.562000
