Type;Cause;value;Timestamp
AvatarTalking;ImageValidation;True;2022-03-10 10:56:28.689000
AvatarTalking;Dialog;Commenting-photos;2022-03-10 10:56:32.770000
AvatarTalking;Dialog;Yes-beginning;2022-03-10 10:56:57.407000
AvatarTalking;Dialog;Persons-recognized;2022-03-10 10:57:00.995000
AvatarTalking;Dialog;Persons-q2;2022-03-10 10:57:17.726000
AvatarTalking;Dialog;Persons-q3;2022-03-10 10:57:29.011000
AvatarTalking;Dialog;Persons-q4;2022-03-10 10:57:34.834000
AvatarTalking;Dialog;When-q1;2022-03-10 10:57:46.168000
AvatarTalking;Dialog;When-q2;2022-03-10 10:58:00.630000
AvatarTalking;Dialog;Where-q1n;2022-03-10 10:58:14.662000
AvatarTalking;Dialog;Where-q2;2022-03-10 10:58:31.367000
AvatarTalking;Dialog;Where-q3;2022-03-10 10:58:36.981000
AvatarTalking;Dialog;Second-Photo;2022-03-10 10:59:04.084000
